id,Rating,Reviews
2,0,everything read affirmed phone one best dual sim phone market received phone single sim tray returned phone waiting refund went best buy bought phone verifying dual sim tray side needed load app everything work app dual sim connecting computer playing music etc factory like phone better reception last phone couple week still learning
3,1,day battery last whole day rest day 25 impressed
4,1,bueno
5,1,using iphone 12 expecting several hour usage utterly disappointed even 60hz getting usage hour feel nice
6,1,come physical defect like buying one factory problem turn transfering data old phone great price
8,1,expecting phone good like better s22 performance great price thank
11,1,everything
12,1,overall great product received condition promised phone battery however great renewed phone general measure taken last day ideally
14,1,first time buying renewed cellphone tell pre owned look like new cellphone thanks seller accuracy description definitely buy renewed tech
16,1,original review charging port phone received finicky often go back forth e actively charging second charging second back charging although finicky charge 100 hold charge well camera pretty dang good 2 week update charging port barely work noticed bit weird first day got incorrectly assumed much problem worsened pretty quickly point barely charge disappointing phone advertised excellent condition submitted return request ordering replacement receive refund
17,1,far good phone slippery definitely need buy case safely grip phone bought refurbished phone 329 overall happy hopefully get 7 year like previous phone speaker volume phone call quiet
19,1,almost perfect chose excellent option phone scratch back plastic edge look used worn faded color can not change 3g lte 5g option hidden phone restarted browsing setting app screen went black phone restarted everything packaged neatly though survived trip usa 2 stop eu 2 stop africa 2 stop finally ending namibia within 8 day africa took longest included power adapter 10w motorola unit happy everything function except hidden setting one random restart would nice included screen protector case buy
20,0,got phone thought would better phone one unfortunately substandard jack plug headphone sim card place bluetooth speaker low volume phone suck
26,0,amazon described samsung galaxy s21 fe dual sim purchased capability purchased phone phone received single sim complained seller tell single sim plus sim showed phone samsung rep say sim confirmed phone received single sim
30,0,bought phone husband since love samsung product us samsung watch 4 even bought rugged case built screen protector 5 month cellular service always interrupted even resetting network phone back factory setting can not make call receive call email way wi fi cell service cricket problem cricket come occasion service att wi fi good issue service modem cricket customer service show everything working end number show current protocol know wrong told take ir cell phone repair store see may find would cost fix get new one look like purchasing yet another phone husband si make receive call email suck last long phone reason bought one screen lcd screen cracked could fixed
31,1,good phone great camera bought water resistant trouble phone set text message samsung account good really pain battery life adequate paid 288 good value
33,1,say right bat probably way buy phone great deal cheaper happy purchase paid 218 one year old flagship phone selected excellent condition phone came glass screen protector disrupted amoled display removed noticed couple larger scratch imperceptible protector quite according description partially review 4 star issue battery life believe phone running 80 battery health heavy user run phone battery saver activated make full day huge deal samsung battery saver relatively unobtrusive however may opt higher quality renewed phone future overall happy purchase highly recommend process others
34,1,samsung galaxy s21 fe 5g phone received listed excellent surely truly like new condition hint ever used phone came protective plastic file across back side phone always immediately applied screen protector otterbox commuter case sold separately phone shipment quick happy purchase
36,1,excellent condition without scratch screen excessively noticeable work correctly moment would say everything fine
37,1,product good scratch screen work perfectly charger included box original samsung charger 10 watt get hot charging phone aspect phone advertised
47,1,like phone great shape arrived thing come voicemail app phone tell voicemail either
49,0,like fact one piece paper sent show set phone 82 year old next door neighbor model phone would luck sent wrong charger battery 12 per cent getting charged neighbor took phone store young man worked quite helping phone great paper work came wrong charger sent bought right charger store
57,0,bought phone person 1 phone lot scratch 2 sim card reader work unlocked sim card reader working able use sim card would buy understand people sell type trash amazon
60,1,love phone hated fact get info phone damaged reload everything new recover could love phone
64,1,issue put sim ready go thing say phone battery great
66,1,came week earlier expected happy phone gift son like
67,0,ordered samsung galaxy 21 website country work arrived home last week phone package long story short phone work properly make call looked phone determined issue phone seller amazon give refund exchange careful purchase amazon everyone honest unsatisfied customer scam like happening amazon smdh
68,1,love wireless charging feature first time tried phone like new condition day everything seems work well installed compass app handy work like quality mechanical compass thanks great product
70,1,great phone love thing battery little short lived lot review say thing phone spite still love
71,1,phone work great today
74,0,speaker blew failed month getting use speakerphone samsung app store automatically downloads apps without permission whether like could go hour two point alone enough make last samsung device ever
78,1,last ordered iphone 11 renewed got 81 bh like 85 90 close new little scratch cant seen distance time s21 fe complete jackpot man got almost new phone 99 battery health scratch anything complete new problem camera mic audio whatsoever thing ask aware buying renewed phone strictly read rewiews carefully seller different seller phone dont sold less price 235 240 buck option went 240 hit jackpot cause liked 240 seller reputation never regret didnt save money buying former one like average rating always go top rating seller
89,1,product great device owned company controlling allow specific thing make samsung account nothing device amazon product tester truly test product please
93,0,1 called amazon issue amazon told contact vendor vendor show response customer supposed call amazon phone amazon renewed amazon responsible 2 phone supposed unlocked powered showing att logo 3 att phone complained tried insert mobile sim card 4 wireless charging new car intermittent5 wifi calling home work mobile could figure 6 taking picture camera time show camera failed7 cable supplied allow fast charging 9v charging 8 charger heat shuts fast charging phone returned refund hope vendor enjoying seeing 10 phone sell returned
