Username,Date,Reviews,Rating
Kuamaul,,I got the phone from FEDEX and a black Buick showed up and randomly delivered my phone once I got it it was good for the first 30 mins until I opened the camera app to see that it was not working. I would open the app upfor it to give me a warning to say the camera app failed. And I tried it again for it to crash again. The phone would not update at all it would tell me that the update was interrupted and to try again in the next 24 hrs and last but certainly not least not only was it already locked to att despite me getting it unlocked but the fingerprint scanner wouldn't work and said the fingerprint scanner needed to be calibrated I tried everything I even called Samsung to tell them what's happened and they remotely controlled my phone and everything and all they could do was tell me to go to a Samsung store in which I'm in Deming NM so there are no stores where I live and he also recommended that I trade it in for  a s23 for a discounted price I even tried safe mode NOTHING worked I'm not saying don't buy from here but I'm saying to buy with caution I wish I took videos but I've already returned the phone the same day I got it.,1
Harriet Ndiritu,"Reviewed in the United States on January 7, 2025",,1
Sudime|Sudime,"Reviewed in the United States on December 7, 2024",I am a samsung phone user and was hoping to buy my dad a new device as his is giving him so much trouble. Before I even turned the phone on I had suspicions that it was fake there were thick bezels where there weren't supposed to be. And there was an LG looking notch at the top. I turned it on and not even to my surprise everything looked like 900th class quality I could breath nothing but pixels. This phone is worse than the samsung a series and it's an s series phone. That when I knew for sure. This phone was a fake,1
kpfrancis,"Reviewed in the United States on December 11, 2024","The app that sets up the home page didn't work, so my information and apps transferred to the new phone, but I could only access my apps through the settings.  My apps weren't on the homepage.  Samsung Tech support tried to help, but they couldn't get it working.  They sent me to their contracted repair shop where the OS was reinstalled, but that didn't work either, so the tech said it was likely a defective motherboard.  I've never had an issue ordering phones on Amazon, so I'm only upset that the store that sold the phone didn't test it.",1
Heidi Baker,"Reviewed in the United States on December 22, 2024",I was getting this for my son for Christmas to replace his old no name cell phone. Was excited that it got here in time.  Immediately started setting it up.  Wifi would not even turn on for me to even try to connect to any network!  Not happy at all!  Do not buy from this seller.  It was LIKE NEW which means everything should work!,1
nmims3013,"Reviewed in the United States on November 27, 2024","This was supposedly a Refurbished/Renewed phone. Nothing but junk. This is the second one I had to return. The first phone would not stay charged. The second phone would not show the home screen. Also two trips to my phone store. Be wise, just get a NEW phone. I only bought it as it showed ""The Amazon Renewed Store"". Usually good quality if Amazon puts their name in it. Not in thus case.",1
Christopher hermann,"Reviewed in the United States on November 26, 2024","We bought this phone and went to put a sim card in and it wouldn't recognize the metro pcs sim. We ended up going to metro to get a new sim and found out the phone was blacklisted from the network due to it being used in an insurance scam. The store wanted to call the cops on us till we explained the situation as it's technically ""stolen""",1
Elizabeth Greer,"Reviewed in the United States on March 17, 2023","Bought this phone for my husband since he loves Samsung products and uses it with his Samsung watch 4. I even bought a rugged case with built in screen protector for it and after 5 months cellular service is always interrupted even after resetting of network and phone back to factory settings. Cannot make calls or receive calls or emails. Same way with Wi-Fi. Cell service is with cricket and have no problems with cricket at all. But then it comes up with AT&T on occasions but have no service with ATT. My Wi-Fi is good and no issues with service or modem. Cricket customer service shows everything working on their end and all numbers show current for their protocols. Don’t know what is wrong with it. Told me I should take ir to a cell phone repair store to see what they may can find out but it would cost more to fix than get a new one. So, it looks like I will be purchasing yet another phone for my husband si he can make and receive calls and email. It just sucks that it didn’t last as long as his other phone did, and reason we bought this one is because his screen and lcd screen was cracked and could not be fixed.",1
Wil Santiago,"Reviewed in the United States on October 19, 2024","The first phone came in and after setting it up, the OneUi keeps crashing. Replacement phone was delivered and same thing is happening. They must be doing something incorrect when flashing these phones at Amazon renewal department. The only thing that would get it past the loop, is to install a launcher like Nova Launcher and making it the default launcher. Not acceptable though as i like the native OneUI. Thank you",1
Judy|Judy,"Reviewed in the United States on October 22, 2024","|The video showcases the product in use.|The video guides you through product setup.|The video compares multiple products.|The video shows the product being unpacked.|Video Player is loading.||Play Video||Play||Mute||Current Time|0:00|/|Duration|0:31|Loaded: 19.37%|Loaded|19.37%|Stream Type||Seek to live, currently behind live|LIVE|Remaining Time|-|0:31||Playback Rate||Chapters||Descriptions|descriptions off|, selected||Captions|captions off|, selected|English|||Audio Track|default|, selected||Fullscreen|Video and pics attatched. Phone looked good powered on when. I got past the customization it was a horrible phone with glitching.l Returned to the next day but here I am waiting a month to get credit to my account to get a phone so my life may continue. But now says there is a courier delay. Just a completely frustrating experience.",1
