Username,Date,Reviews,Rating,Model 
Craig Stocks,1/24/2025,"As advertised, it is an Apple I Pad, purchased as a replacement for an aging Apple I Pad.  Good function, charges very quickly and no complaints.",5,iPad 9th Gen
Cynthia M Rose,1/23/2025,Great buy. Thank you Amazon. It’s perfect. Charges quickly and work as expected.,5,iPad 9th Gen
Jastiny,1/23/2025,Loved this Ipad. Got this for my daughter and she loves it.,5,iPad 9th Gen
Hook,1/22/2025,The iPad was a great purchase. I bought it on Black Friday weekend for a great price. It was very nice to buy a 256 gigabyte. I had a 32 gig.,5,iPad 9th Gen
Olanta 48,1/21/2025,"It was on sale, and a great buy for the price.",5,iPad 9th Gen
Danny,1/20/2025,"I have a smaller version this one is the perfect size for home and on the road,  watching movies in the truck,  on the airplane, reading my comic books online, buying and selling on eBay,  works perfect ????",5,iPad 9th Gen
Shaikh Q.,1/20/2025,Working fine. No issue found,5,iPad 9th Gen
coda14,1/19/2025,"great product, fast delivery, exactly as described thanks",5,iPad 9th Gen
SC,1/18/2025,this is Ipad is cheap for a reason,3,iPad 9th Gen
Shanna,1/18/2025,When we purchased this product not even the Black Friday sale could come within $50 of the price which made this one a no brainer but we are happy with this choice and have enjoyed watching our son learn and grow on this one. Charges easy and screen time seems like days but in reality I place ours on charge every other night with at least 30 to 50% battery life left after probably 3 hours of screen time (yes educational) and just being turned on. We are using this for multiple apps for school and learning to read. Watching him use this better than I do might be concerning lol.,5,iPad 9th Gen
Lou Marlin,1/17/2025,"Love these enjoy them very much, nice viewing picture",5,iPad 9th Gen
LU,1/17/2025,Nice,5,iPad 9th Gen
The far center.,1/16/2025,"Seems ok enuff. Just failing to understand how a 4 year battery life on a 2021 model is a steal in 2025. Many moons since 1st grade but correct me if im wrong 2021. 2,3,4,5 hummm 2025. Fact checkers show me how flawed my logic is in comments.",3,iPad 9th Gen
Kamalakannan Thammireddi Vajram,1/16/2025,"Don't buy apple products from Amazon. One, more chances it might turn out to be defective (Mine had a scree flickering and its operating way slower), second Amazon will no hold on to their return policy. The customer service will always find different ways to end your chat or cancel your return. All you will hear from them is ""Sorry for the inconvenience caused"" and ""That's my limitation and anything else, I have to end this chat or call"". If you keep pursuing they will politely say ""You will get the same information with anyone you call to"", sarcastically nothing you can do. They won't respect their own return agreement on their website. Utter disgrace.I talked to 5 Customer Service agent, 1 Service Specialist and 2 Technical Customer Specialist. Most of them are rude not pointing to the right place or person for information.",1,iPad 9th Gen
