Seq_No,Author,Review_Date,Review_URL,Product_Review,Product_Rating,Product_Version,Purchase_Address,BrndNo,GDNo
1,jonalinsolee,5/15/2024 8:57,https://shopee.vn/shop/680181177,"Performance:happy
Product Quality:happy
Best Feature:happy

thank you sa freebies. akala ko sa SM lang mkakakuha nang freebies bukod sa earpuds. Satisfied. My first smart watch. mahal kasi sa Apple??
https://cf.shopee.vn/file/ph-11134103-7r98t-lvbr7nnwp8i761
https://cf.shopee.vn/file/ph-11134103-7r98t-lvbr7nnwp8i761",5,Pink,ph,1,1
2,z*****_,5/15/2024 11:05,https://shopee.vn/shop/101790286,"Product Quality:10/10
Best Feature:battery life

Best Feature:battery life
Product Quality:10/10
https://cf.shopee.vn/file/ph-11134103-7r98w-lvbpm51ytqz5a0
https://cf.shopee.vn/file/ph-11134103-7r98o-lvbpm51yscb35b
https://cf.shopee.vn/file/ph-11134103-7r98w-lvbpm51ytqz5a0
https://cf.shopee.vn/file/ph-11134103-7r98o-lvbpm51yscb35b",5,Black,ph,1,1
3,yourex,5/15/2024 13:46,https://shopee.vn/shop/6378588,"Best Feature:the long battery life
Performance:just delivered today
Product Quality:looks super nice

I already have a Huawei Band 6 and I love it so much
But when I saw  this  watch fit 3 that looks like the iWatch, I told myself that I needed to buy this
https://cf.shopee.vn/file/ph-11134103-7r98o-lvbv6rozrb2p66
https://cf.shopee.vn/file/ph-11134103-7r98r-lvbv6rozbutta4
https://cf.shopee.vn/file/ph-11134103-7r98z-lvbv6rozbuq787
https://cf.shopee.vn/file/ph-11134103-7r98o-lvbv6rozrb2p66
https://cf.shopee.vn/file/ph-11134103-7r98r-lvbv6rozbutta4
https://cf.shopee.vn/file/ph-11134103-7r98z-lvbv6rozbuq787",5,Pink,ph,1,1
4,malougobautista,5/15/2024 13:55,https://shopee.vn/shop/33221466,"Performance:smooth
Product Quality:Looks durable
Best Feature:easy to use

Sulit sa freebies and discount.. Fast transaction and super bilis ang delivery.
https://cf.shopee.vn/file/ph-11134103-7r98s-lvbvo1frhd1r40
https://cf.shopee.vn/file/ph-11134103-7r98s-lvbvo1frhd1r40",5,Black.,ph,1,1
5,offx.richel,5/16/2024 1:03,https://shopee.vn/shop/6138557,"Performance:10/10
Product Quality:10/10
Best Feature:10/10

worth the price. daming freebies
Almost same ni applewatch SE 
malakas din ang sound like phone kaloka ang ganda ??
https://cf.shopee.vn/file/ph-11134103-7r98t-lvcjix8w339r18
https://cf.shopee.vn/file/ph-11134103-7r98t-lvcjix8w339r18",5,Moon White.,ph,1,1
6,xoqiut8ale,5/16/2024 4:49,https://shopee.vn/shop/1153756419,"Product Quality:Worth every penny
Performance:Responsive
Best Feature:Work out tracker

I got this with an extra voucher so paying for ?4,899 is a steal and bang for your buck! I love the size of the display and how light weight it is. Maganda din ang resolution and it pairs well with my iPhone 15.
Excited to use this as my workout buddy kasi I do run, badminton and lift weights.
https://cf.shopee.vn/file/ph-11134103-7r98o-lvcrjziruaj542
https://cf.shopee.vn/file/ph-11134103-7r98p-lvcrjzirx3o1b5
https://cf.shopee.vn/file/ph-11134103-7r98v-lvcrjzirrhan24
https://cf.shopee.vn/file/ph-11134103-7r98w-lvcrjzisp70x18
https://cf.shopee.vn/file/ph-11134103-7r98o-lvcrjziruaj542
https://cf.shopee.vn/file/ph-11134103-7r98p-lvcrjzirx3o1b5
https://cf.shopee.vn/file/ph-11134103-7r98v-lvcrjzirrhan24
https://cf.shopee.vn/file/ph-11134103-7r98w-lvcrjzisp70x18",5,Green,ph,1,1
7,r*****n,5/16/2024 5:40,https://shopee.vn/shop/280366900,"Performance:premium feels
Product Quality:100
Best Feature:Price and its looks

First time using huawei watch at mukhang di ako bibiguin nito. Dami pang freebies na kasama. Thank you
https://cf.shopee.vn/file/ph-11134103-7r98q-lvcphnda0zwx51
https://cf.shopee.vn/file/ph-11134103-7r98q-lvcphnda0zwx51",5,Grey (Nylon Strap),ph,1,1
8,m*****z,5/16/2024 6:53,https://shopee.vn/shop/204757934,"Performance:Superb

Ang ganda grabe! From Watchfit 2 to this Watchfit 3. Akala ko di mo makikita or mararamdaman na may difference but I was wrong. Appearance palang super ganda na ng improvement, Dont get me wrong, maganda ang watchfit 2 ko pero mas pinaganda pa kasi ang watchfit 3. Sobrang generous din sa freebies.
https://cf.shopee.vn/file/ph-11134103-7r98r-lvcvxpwg5429c2
https://cf.shopee.vn/file/ph-11134103-7r98r-lvcvxpwg5429c2",5,Pink.,ph,1,1
9,rx_rubeee04,5/16/2024 7:10,https://shopee.vn/shop/74547946,"Performance:haven't tried yet
Best Feature:water resistant
Product Quality:excellent

Ang ganda nung watch super solid. ???? pero mas na excite ako sa freebies haha. Ps video not related
https://cf.shopee.vn/file/ph-11134103-7r98t-lvcwggwiebf32b
https://cf.shopee.vn/file/ph-11134103-7r991-lvcwggwih4jz8c
https://cf.shopee.vn/file/ph-11134103-7r98t-lvcwggwiebf32b
https://cf.shopee.vn/file/ph-11134103-7r991-lvcwggwih4jz8c",5,Pink,ph,1,1
10,ronelljohntandoc,5/16/2024 7:19,https://shopee.vn/shop/569461542,"Best Feature:Sulit
Performance:Very Good
Product Quality:Very Good

Very good and ang dami pang freebies ??
Very Sulit, super fast delivery pa 3 days lang waiting time..
https://cf.shopee.vn/file/ph-11134103-7r98z-lvcwn9hufdcf31
https://cf.shopee.vn/file/ph-11134103-7r98x-lvcwn9hugrwvd3
https://cf.shopee.vn/file/ph-11134103-7r992-lvcwuuo0o8y712
https://cf.shopee.vn/file/ph-11134103-7r98u-lvcwzviq211t2e
https://cf.shopee.vn/file/ph-11134103-7r98z-lvcwn9hufdcf31
https://cf.shopee.vn/file/ph-11134103-7r98x-lvcwn9hugrwvd3
https://cf.shopee.vn/file/ph-11134103-7r992-lvcwuuo0o8y712
https://cf.shopee.vn/file/ph-11134103-7r98u-lvcwzviq211t2e",5,Black,ph,1,1
