Username,Date,Reviews,Rating
hola|hola,5/23/2022,"A few micro scratches on the screen (can't see them if you are not looking at them) and a used up battery at cca 91% health for a few months old phone is not as "" works and looks like just as new""",4
Phillip R Steigleder,7/29/2022,The phone and price are great.  Only set back is the phone claims to be unlocked.  Would not work with my carrier (Pure Talk) .  Had to leave them and go with T mobile.  So far so good.,4
Ken Ficklin,9/12/2022,"Everything I read affirmed this phone to be one of the best dual sim phones on the market. When I received the phone it only had a single sim tray. I returned the phone and am waiting the refund. I then went down to Best Buy and bought the phone after verifying the dual sim tray. The down side is that I needed to down load an app for everything to work. An app for the dual sim, connecting with my computer, playing music etc. It should have had these from the factory. I like the phone and it has better reception than my last phone. Only had it for a couple weeks, still learning.",1
JJS,9/29/2022,"Some days the battery does not last a whole day, the rest of the days it's down to 25%. Not impressed.",4
Jhenner canela peralta,11/2/2022,Bueno|,4
victor,12/2/2022,Was using iPhone 12 before this and was expecting several more hours of usage but utterly disappointed. Even with 60hz I was getting the same usage hours. But it feels nice,4
John and Dorothy Conner,12/12/2022,This has come to me with not physical defects just like buying one from the factory. No problem turn it on and transfering all my data from my old phone and this at a great price.,5
ismael,12/13/2022,Phone size and Camara capacity are disappointing.,2
Keath wilbur,12/21/2022,I was expecting the phone to not be that good but I like it better then the s22. It's performance is great for the price thank you.,5
charles,12/21/2022,"I like the phone, what I’m upset about is the mystery box I ordered around the 1st of November and haven’t heard from it.",5
sushicatlover,12/23/2022,"I took alot of time to research phones and sellers.  We were switching carriers to xfinity.  Naively I thought that an unlocked phone was good to go and of course you can't access an imei number to check in advance.  We were phoneless for about a week.  Thank goodness all we usually get are junk calls.  Down to the xfinity store we go.  This particular brand, we found out later, DOES NOT WORK MOST OF THE TIME even if it is unlocked.  Then starts the arduous process of reordering another model and returning this one and the case I ordered.  I really needed to chat with Amazon but neither my Amazon app nor my computer could point me to customer service.  They just wanted to automate everything.  I needed help.  Anyway, what I learned is that even an unlocked phone often does not work if your carrier is different from what the phone had been used on.  So do you feel lucky?  Too bad the phone looked new.  So another week without a phone.",3
Grizzme,1/2/2023,just about everything,4
L. S.,1/3/2023,"It is an overall great product, received it in the condition it was promised. The phone battery, however, is just not great, not because it's a renewed phone but in general, measures have to be taken for it to last a day ideally.",4
Yuval Peleg|Yuval Peleg,1/7/2023,"I recently purchased the Samsung Galaxy S21 FE 5G Cell Phone from Amazon and was extremely disappointed with the condition of the phone upon arrival. While the corners of the phone were undamaged, the back of the phone was full of defects. It appears that the phone may have been previously used.I was unable to return the phone due to my need for a functional device, but I am extremely disappointed with the condition of the phone. I have had to purchase a phone case to cover up the defects on the back of the phone.I do not recommend this product to others based on my negative experience. It is unacceptable to receive a defective and previously used phone. I hope that others do not have the same experience that I did.",1
Ivan Gutierrez,1/12/2023,First time buying renewed  cellphone. Can't tell if was pre-owned or not. Looks like a new cellphone to me. Thanks to the seller. For accuracy description. Definitely will buy again renewed tech.,5
MyChaXio,1/14/2023,I bought this phone for my son.  It's a decent phone for the price and practically is brand new.  It works great and there is not problem with the phone.  I was able to get service on the phone and everything is running smoothly.,5
sylvia russell,1/27/2023,"Original review: The charging port on the phone I received is finicky, and it often goes back and forth (i.e. actively charging for a few seconds, then not charging for a few seconds, then back to charging). Although it's finicky, it does charge to 100% and it holds the charge well. The camera is pretty dang good on this too!2 week update: The charging port barely works at all now. I noticed it was a bit weird the first day I got it, and I incorrectly assumed that it wouldn't be much of a problem. But it worsened pretty quickly and it's now at the point where it barely charges at all. It's disappointing because this phone was advertised as being in ""excellent condition"". I've submitted a return request and I'll be ordering a replacement once I receive my refund.",3
Mark Smith,1/27/2023,So far so good.  Phone is very slippery so you'll definitely need to buy a case for it just so you can safely grip the phone.  I bought a refurbished phone for $329.  Overall I'm happy with it.  Hopefully I'll get 7 years out of it like I did my previous phone.  Speaker volume during a phone call is quiet.,4
Madhu|Madhu,1/28/2023,Daily use,4
Jasper Schrader,2/4/2023,"Almost perfect, chose the ""excellent"" option, phone has some scratches on the back and plastic edges look ""used"" with worn or faded colors. Also, cannot change between 3G, LTE or 5G, the option is hidden. Phone has also restarted by itself once, was browsing settings app when screen went black and the phone restarted. Everything was packaged neatly though, survived a trip from USA 2 stops, EU 2 stops, Africa 2 stops and finally ending in Namibia, all within 8 days. Africa took the longest. The included power adapter was a 10w Motorola unit, wasn't happy with that.Everything functions except for the hidden setting & that one random restart. Would've been nice if they included a screen protector & case.Will buy again.",4
Amazon Customer,2/9/2023,Got this phone thought it would be a better phone than the one I have unfortunately it's substandard there's no Jack for the plug headphones in and no SIM card place and the Bluetooth speaker is very low there's no volume up so this phone sucks,1
Paige,2/10/2023,"Product was as promised .. I am very happy with my purchase.  Good quality, like new..  10 out of 10 would order from thus seller again !",5
PJMZ28,2/23/2023,"Good price and for a refurbished model I wouldn't be able to distinguish refrurb from new,  even if I had a brand new phone right next to it.  Cosmetically it's flawless. On a side note, this is NOT a factory unlocked phone. It's a T-Mobile phone but it still works with my Consumer Cellular SIM. Just need to get used to looking at the big red T-Mobile screen every time you reboot your phone. Being an apple user for many years there's a learning curve and some annoyances with the android apps but nothing that would deter me from getting it.",4
kwasi,2/25/2023,"The condition was as advertised, very happy with the purchase",4
Brittny Grayson,2/26/2023,I ordered a good condition phone and it looks BRAND NEW. put my Sim card in and everything has worked perfectly.Thank you Macalegin electronics!!!!,5
Fernando T.|Fernando T.,3/2/2023,"Estimados amigos, compré este producto y cumple con lo dicho. Compré este producto de Deals Always y realmente lo agradezco, también a Amazon. El producto llegó en buenas condiciones con su cable y cubito para cargar.El teléfono llegó como nuevo y 100 % lo recomiendo con este vendedor.|",5
Kirk,3/6/2023,Amazon described the Samsung Galaxy S21 FE  as being dual-sim when I purchased it.  This capability is why I purchased this phone.  The phone I received is single sim so I complained.  The seller tells me it is single sim plus e-sim.  I showed the phone to a Samsung rep who says it has no e-sim and confirmed the phone I received is single sim.,1
